C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,time
-3.7430084201333087,-3.650340790273403,-3.779496936881005,-3.6619556844988366,-3.6604438710362857,-3.844588658230762,-3.8885562488062164,-3.88404885820334,-4.153635348353105,-3.714347987976535,-3.297503242040964,-3.9363522186007205,-3.9802643756965717,-3.9091621621282826,-3.8312476824095674,-3.9786655665618387,-4.05493196374012,-3.820505112156112,-3.975104841750258,-3.985638315221202,-3.775929976732174,-4.447144538029094,10
-3.742664399028961,-3.6520210113217484,-3.7796268384725686,-3.6613934152334364,-3.6616908115098528,-3.8450753191536453,-3.889195576287664,-3.8838961982745164,-4.154488608687856,-3.7157364394279133,-3.2979430936259204,-3.937606367501672,-3.9793533375255303,-3.9097956457259646,-3.836332829057207,-3.977553640792039,-4.055813175379514,-3.8199588061002716,-3.979422445484474,-3.9876151346863615,-3.774786658132733,-4.444691438316477,11
-3.7417306274600173,-3.656581611310115,-3.7799794285068113,-3.6598672557987784,-3.66507536422382,-3.8463962559443297,-3.8909308937373086,-3.8834818356105667,-4.156804601025039,-3.7195050933673692,-3.299136976499373,-3.941010485947111,-3.9768805196327044,-3.9115151012053864,-3.850135369957942,-3.974535556559725,-4.058205035543583,-3.818475975377276,-3.9911416556202046,-3.9929807875203664,-3.7716833647913948,-4.438033024810802,12
-3.7403545430426264,-3.6633024955034967,-3.7804990348730643,-3.6576181787371764,-3.6700631261180874,-3.8483428996358633,-3.8934882036630993,-3.882871195895272,-4.160217642364044,-3.725058899172883,-3.3008963828391975,-3.9460270815509153,-3.9732363669485387,-3.914049035596112,-3.8704759565484985,-3.970087853480525,-4.061729882101157,-3.8162907511539137,-4.008412070557069,-4.000888065381004,-3.7671100903936314,-4.428220625960332,13
-3.7386835833929375,-3.671463569166889,-3.781129985460657,-3.654887156590947,-3.6761196941325553,-3.850706681261298,-3.896593508572989,-3.882129704812415,-4.164362049704264,-3.7318028062224355,-3.303032804823271,-3.9521186619269644,-3.9688113244034815,-3.91712595592771,-3.895175240265604,-3.9646870711700677,-4.066010052921069,-3.813637264596974,-4.029383288694691,-4.010489759926066,-3.7615568286249195,-4.416305570213335,14
-3.7368651861270994,-3.680344737565287,-3.7818166081589197,-3.651915161902402,-3.6827106652071233,-3.853279031853682,-3.899972810974927,-3.881322788045776,-4.168872140045093,-3.7391417638940077,-3.3053577346294682,-3.958747734689135,-3.9639958369279773,-3.9204743692297415,-3.922053872545983,-3.958809749243983,-4.070667885872149,-3.810749646873245,-4.052204908432692,-4.020938662813338,-3.755513573170733,-4.403339186018073,15
-3.7350467888612613,-3.689225905963684,-3.7825032308571824,-3.648943167213857,-3.6893016362816913,-3.8558513824460667,-3.903352113376865,-3.8805158712791377,-4.173382230385922,-3.7464807215655798,-3.3076826644356654,-3.965376807451306,-3.959180349452473,-3.923822782531773,-3.948932504826362,-3.952932427317897,-4.07532571882323,-3.8078620291495167,-4.075026528170692,-4.0313875657006095,-3.7494703177165465,-4.39037280182281,16
-3.733375829211573,-3.6973869796270766,-3.7831341814447756,-3.646212145067627,-3.6953582042961597,-3.8582151640715012,-3.906457418286755,-3.879774380196281,-4.177526637726143,-3.753224628615132,-3.309819086419739,-3.9714683878273545,-3.954755306907416,-3.92689970286337,-3.9736317885434675,-3.9475316450074405,-4.079605889643142,-3.805208542592577,-4.095997746308314,-4.040989260245671,-3.7439170559478354,-4.378457746075812,17
-3.731999744794182,-3.7041078638204588,-3.783653787811028,-3.6439630680060264,-3.7003459661904268,-3.8601618077630357,-3.9090147282125463,-3.879163740480986,-4.1809396790651485,-3.758778434420646,-3.3115784927595637,-3.9764849834311597,-3.951111154223251,-3.929433637254097,-3.9939723751340246,-3.943083941928241,-4.083130736200717,-3.803023318369215,-4.11326816124518,-4.04889653810631,-3.7393437815500725,-4.3686453472253435,18
-3.7310659732252383,-3.708668463808825,-3.7840063778452713,-3.642436908571368,-3.703730518904394,-3.861482744553719,-3.9107500456621898,-3.8787493778170363,-4.18325567140233,-3.7625470883601015,-3.3127723756330165,-3.9798891018765983,-3.9486383363304243,-3.9311530927335183,-4.0077749160347595,-3.9400658576959264,-4.085522596364784,-3.801540487646219,-4.12498737138091,-4.054262190940314,-3.7362404882087334,-4.361986933719668,19
-3.7307219521208905,-3.7103486848571703,-3.7841362794368343,-3.6418746393059673,-3.704977459377961,-3.8619694054766027,-3.9113893731436375,-3.878596717888213,-4.184108931737081,-3.76393553981148,-3.3132122272179725,-3.9811432507775493,-3.947727298159383,-3.9317865763312,-4.012860062682399,-3.9389539319261266,-4.086403808004178,-3.8009941815903785,-4.129304975115126,-4.0562390104054735,-3.7350971696092925,-4.359533834007051,20
-3.730391711572951,-3.7070922103088404,-3.7774494693992806,-3.6375578531694757,-3.7557870728902496,-3.8550591846021716,-3.92890968375942,-3.8760889982647737,-4.232093710649717,-3.761449153833645,-3.3127248155438473,-3.976580577414883,-3.9455908074326143,-3.929014809703693,-4.004241940530489,-3.9539301850940323,-4.125690136733304,-3.797105864776039,-4.120029315459487,-4.102651611065581,-3.732628276479042,-4.415475998673877,21
-3.7294953443714003,-3.698253207963372,-3.759299556440206,-3.62584086222757,-3.893698880995032,-3.8363028708001448,-3.976464812573687,-3.869282330715438,-4.3623381105554415,-3.7547003918938087,-3.311401840999792,-3.9641961782876445,-3.939791761174241,-3.9214914431433168,-3.9808498946895923,-3.9945800151212048,-4.232324457569503,-3.78655186199426,-4.094852524965608,-4.22862867000016,-3.7259269951255045,-4.5673190170552616,22
-3.728174382179642,-3.6852273097700516,-3.7325523162899916,-3.6085737176816037,-4.096937335044187,-3.808661987302421,-4.046546055036817,-3.8592514522216814,-4.554277226205983,-3.7447548479824704,-3.309452194303291,-3.9459454848369777,-3.931245798267166,-3.9104043766332888,-3.946377406081955,-4.054485027792828,-4.389469772486008,-3.770998594736902,-4.057749886343052,-4.41427907264059,-3.7160514226045027,-4.791087675722564,23
-3.7265703566610777,-3.669410147678162,-3.7000735246790164,-3.58760647073293,-4.343726886389589,-3.775098057340899,-4.13164470659919,-3.8470710997649755,-4.787346152353069,-3.7326781160901303,-3.3070847661718252,-3.923783928504025,-3.9208685575942877,-3.896941510156826,-3.904517955629823,-4.127226828894085,-4.58028908345605,-3.7521124844958242,-4.012696682301375,-4.639711704418257,-3.7040596559718573,-5.062806761247148,24
-3.7248247994791104,-3.652197353636988,-3.664728957337661,-3.564789172582903,-4.612291986383112,-3.738572604147478,-4.224252062711184,-3.833816010326796,-5.040979983748426,-3.7195357902072903,-3.3045084473228767,-3.8996669407299294,-3.909575678038509,-3.882290743697146,-3.858965024255445,-4.206387024210158,-4.787945392452858,-3.731559952762886,-3.9636681955501394,-4.885035450764539,-3.6910097922833893,-5.3585010602003695,25
-3.7230792422971435,-3.6349845595958135,-3.6293843899963054,-3.541971874432876,-4.880857086376636,-3.7020471509540567,-4.316859418823176,-3.820560920888617,-5.294613815143784,-3.7063934643244503,-3.3019321284739283,-3.875549952955834,-3.8982827984827306,-3.8676399772374657,-3.813412092881067,-4.285547219526231,-4.995601701449667,-3.7110074210299486,-3.9146397087989033,-5.130359197110823,-3.6779599285949223,-5.654195359153592,26
-3.72147521677858,-3.619167397503924,-3.5969055983853306,-3.521004627484203,-5.127646637722039,-3.668483220992535,-4.401958070385549,-3.808380568431912,-5.52768274129087,-3.6943167324321102,-3.2995647003424624,-3.853388396622882,-3.887905557809853,-3.8541771107610034,-3.771552642428935,-4.358289020627488,-5.186421012419709,-3.692121310788871,-3.8695865047572275,-5.355791828888489,-3.665968161962277,-5.925914444678175,27
-3.720154254586821,-3.606141499310603,-3.5701583582351155,-3.503737482938236,-5.330885091771191,-3.640842337494811,-4.472039312848679,-3.798349689938154,-5.71962185694141,-3.6843711885207715,-3.29761505364596,-3.8351377031722147,-3.879359594902777,-3.843090044250975,-3.7370801538212977,-4.418194033299111,-5.343566327336212,-3.6765680435315127,-3.8324838661346696,-5.541442231528919,-3.656092589441274,-6.1496831033454775,28
-3.7192578873852704,-3.5973024969651353,-3.552008445276041,-3.4920204919963305,-5.468796899875975,-3.622086023692784,-4.519594441662946,-3.7915430223888187,-5.849866256847136,-3.677622426580935,-3.296292079101906,-3.822753304044977,-3.873560548644404,-3.835566677690599,-3.7136881079804005,-4.458843863326284,-5.450200648172412,-3.666014040749734,-3.807307075640792,-5.6674192904634975,-3.6493913080877367,-6.301526121726863,29
-3.7189276468373307,-3.5940460224168054,-3.5453216352384875,-3.487703705859839,-5.519606513388263,-3.615175802818353,-4.537114752278729,-3.7890353027653796,-5.89785103575977,-3.6751360406031,-3.2958046674277806,-3.81819063068231,-3.8714240579176353,-3.832794911063092,-3.7050699858284912,-4.473820116494189,-5.489486976901538,-3.6621257239353944,-3.798031415985153,-5.713831891123605,-3.646922414957486,-6.357468286393688,30
-3.7211486477169937,-3.5863392339718625,-3.5854899346257185,-3.484447531101635,-5.463039183395696,-3.6647944994588166,-4.513989277507389,-3.8144399482530944,-5.832921586107999,-3.678397013534731,-3.301031129835306,-3.811031597206727,-3.929155784435997,-3.8265250974999003,-3.694357520787856,-4.448183454929685,-5.488575486319858,-3.708823042465096,-3.791920963281226,-5.651982041639216,-3.6658572928683646,-6.281369617374785,31
-3.7271770786760787,-3.5654208081927323,-3.6945181758196313,-3.4756093424722247,-5.309499287701583,-3.799473818911503,-4.451220131699467,-3.8833954145768925,-5.656684508481763,-3.6872482257777284,-3.3152172420843034,-3.7915999349158587,-4.085856184985834,-3.809507032114094,-3.6652808299632746,-4.378598230683172,-5.4861014404552995,-3.8355729070457145,-3.7753354487991393,-5.484103878753017,-3.7172519614836057,-6.0748160871806185,32
-3.7360610821947304,-3.5345936544129612,-3.855191373368555,-3.462584643439409,-5.083229967731313,-3.997948605473356,-4.358718232614106,-3.9850139965277522,-5.396966709874677,-3.7002921175042514,-3.3361230917144047,-3.7629638010135262,-4.31678309105928,-3.784427777861327,-3.6224309698007335,-4.2760515844251525,-5.48245547812858,-4.022362181164521,-3.750893637983433,-5.23670448081546,-3.7929914731271186,-5.770421411105007,33
-3.746848800753094,-3.497160681966097,-4.05029454182082,-3.446768937470991,-4.808474364910272,-4.238953703441322,-4.246394498010456,-4.108407988896654,-5.081595097280361,-3.7161311288864587,-3.361508766265243,-3.7281913527035524,-4.5971943341484645,-3.7539743976972533,-3.5703989967462197,-4.1515306568261305,-5.478028238160423,-4.249177728308787,-3.721214296278646,-4.9362909261770005,-3.8849608801228137,-5.4007993044417635,34
-3.7585883768313124,-3.456424800185685,-4.262612695724755,-3.429557728034771,-4.509475620663845,-4.501223957112341,-4.124159845647659,-4.242689686474576,-4.738396577692429,-3.7333677000965064,-3.3891343532764484,-3.6903507471897568,-4.902347745745516,-3.7208339545775253,-3.513775967245719,-4.0160225885566065,-5.473210359371545,-4.496006411965779,-3.688916189129319,-4.609370293188088,-3.9850452347945984,-4.998563482484705,35
-3.770327952909531,-3.415688918405274,-4.474930849628691,-3.4123465185985506,-4.210476876417417,-4.763494210783362,-4.001925193284863,-4.376971384052498,-4.395198058104494,-3.750604271306555,-3.416759940287654,-3.6525101416759607,-5.207501157342568,-3.6876935114577973,-3.4571529377452186,-3.880514520287082,-5.468392480582667,-4.742835095622774,-3.6566180819799925,-4.282449660199175,-4.0851295894663835,-4.596327660527646,36
-3.781115671467894,-3.378255945958409,-4.670034018080956,-3.3965308126301323,-3.935721273596375,-5.004499308751327,-3.889601458681212,-4.5003653764214,-4.079826445510178,-3.766443282688762,-3.4421456148384912,-3.6177376933659864,-5.487912400431752,-3.6572401312937237,-3.405120964690705,-3.75599359268806,-5.46396524061451,-4.969650642767038,-3.626938740275206,-3.9820361055607147,-4.177098996462078,-4.226705553864403,37
-3.789999674986546,-3.347428792178638,-4.8307072156298805,-3.3835061135973175,-3.7094519536261057,-5.202974095313181,-3.7970995595958525,-4.60198395837226,-3.820108646903093,-3.779487174415285,-3.4630514644685935,-3.5891015594636544,-5.718839306505198,-3.632160877040957,-3.362271104528164,-3.6534469464300416,-5.460319278287791,-5.156439916885845,-3.6024969294594995,-3.734636707623159,-4.252838508105592,-3.922310877788791,38
-3.796028105945631,-3.326510366399508,-4.939735456823793,-3.3746679249679064,-3.555912057931994,-5.337653414765866,-3.734330413787929,-4.670939424696058,-3.643871569276857,-3.7883383866582823,-3.4772375767175903,-3.5696698971727865,-5.875539707055035,-3.6151428116551503,-3.3331944137035823,-3.5838617221835287,-5.4578452324232325,-5.283189781466463,-3.5859114149774127,-3.5667585447369596,-4.304233176720833,-3.7157573475946255,39
-3.7982491068252937,-3.318803577954565,-4.979903756211023,-3.371411750209703,-3.4993447279394267,-5.387272111406329,-3.7112049390165898,-4.696344070183772,-3.5789421196250863,-3.791599359589913,-3.482464039125116,-3.562510863697203,-5.933271433573396,-3.6088729980919587,-3.322481948662947,-3.558225060619024,-5.456933741841552,-5.3298870999961645,-3.579800962273486,-3.5049086952525714,-4.323168054631711,-3.639658678575723,40
-3.8048833624800107,-3.3268489567032495,-4.985358852670596,-3.363231095519353,-3.4981152857100515,-5.39282261537532,-3.753141672600985,-4.665101773699698,-3.638162989143803,-3.7836337958534214,-3.470949247161191,-3.5642218247086825,-5.870303540263117,-3.675008322782605,-3.325906363570459,-3.5555241133240405,-5.40680923551609,-5.330126766240951,-3.6071717898108404,-3.50685546295957,-4.29944144675734,-3.709899193516568,41
-3.822890627828527,-3.3486864133068206,-5.000165543060865,-3.3410264613598324,-3.494778228230318,-5.407888269005439,-3.866969949472917,-4.580301254671497,-3.798905349266036,-3.762012979997229,-3.4396948118305386,-3.5688658617398397,-5.699390686992356,-3.854518489800076,-3.3352012040337065,-3.5481929706662263,-5.270757004061262,-5.330777288905372,-3.6814640359836606,-3.5121395467357095,-4.235040653955476,-3.9005520197845787,42
-3.8494276504473937,-3.380867928301558,-5.021985928899156,-3.308303842598433,-3.4898604593128164,-5.430090284881404,-4.034716883810501,-4.455332068735198,-4.035788827340906,-3.730150725051262,-3.3936356439748403,-3.5757097057857554,-5.447519113751232,-4.119059788562666,-3.3488988636637553,-3.53738918148629,-5.07025897875941,-5.331735953884517,-3.7909473461330796,-3.519926617563703,-4.140134222457992,-4.181514079547963,43
-3.881651177913161,-3.419945482223739,-5.048482111702796,-3.268569234102449,-3.4838888827701364,-5.457049875587932,-4.238409589791852,-4.303583771526839,-4.323433050717533,-3.6914608440454457,-3.3377066544357783,-3.5840200878415116,-5.141675060529874,-4.440288508488664,-3.365531736071672,-3.5242702946249396,-4.826797090892879,-5.332900047073481,-3.923891365600231,-3.5293823464262686,-4.024890698496764,-4.522682294974928,44
-3.916717957802377,-3.462471055609641,-5.07731619298911,-3.225328630739172,-3.477390402414866,-5.486388253709743,-4.460075181595085,-4.138445918682446,-4.636457646745036,-3.6493571500097035,-3.2768427540550347,-3.5930637389021856,-4.808844767318393,-4.789860938996368,-3.3836322148685216,-3.509993858922881,-4.561853271744006,-5.334166854367352,-4.068565739726249,-3.5396724043061187,-3.8994786283036613,-4.893953588233682,45
-3.951784737691594,-3.504996628995544,-5.106150274275423,-3.182088027375895,-3.4708919220595966,-5.515726631831553,-4.68174077339832,-3.9733080658380535,-4.9494822427725405,-3.6072534559739617,-3.215978853674291,-3.602107389962861,-4.476014474106914,-5.139433369504072,-3.4017326936653713,-3.495717423220823,-4.296909452595133,-5.335433661661224,-4.213240113852266,-3.5499624621859684,-3.7740665581105595,-5.265224881492436,46
-3.9840082651573607,-3.544074182917725,-5.132646457079063,-3.1423534188799107,-3.4649203455169157,-5.542686222538081,-4.885433479379672,-3.821559768629692,-5.237126466149168,-3.5685635749681444,-3.1600498641352286,-3.610417772018616,-4.170170420885551,-5.460662089430073,-3.4183655660732883,-3.4825985363594714,-4.053447564728599,-5.336597754850187,-4.346184133319419,-3.5594181910485334,-3.6588230341493295,-5.606393096919404,47
-4.010545287776227,-3.576255697912462,-5.154466842917355,-3.109630800118511,-3.460002576599414,-5.564888238414046,-5.053180413717255,-3.6965905826933945,-5.474009944224038,-3.536701320022177,-3.1139906962795303,-3.617261616064532,-3.9182988476444294,-5.725203388192662,-3.4320632257033368,-3.471794747179535,-3.8529495394267483,-5.337556419829333,-4.455667443468837,-3.5672052618765275,-3.5639166026518456,-5.887355156682787,48
-4.028552553124745,-3.5980931545160333,-5.169273533307623,-3.0874261659589908,-3.4566655191196807,-5.5799538920441645,-5.167008690589186,-3.611790063665193,-5.63475230434627,-3.5150805041659856,-3.082736260948878,-3.621905653095689,-3.7473859943736705,-5.904713555210131,-3.4413580661665844,-3.464463604521721,-3.716897307971922,-5.338206942493754,-4.5299596896416565,-3.572489345652667,-3.499515809849983,-6.078007982950795,49
